order_id,order_date,customer_id,state,city,region,channel,category,product,quantity,unit_price,discount_pct,unit_cost,sales_amount,cost_amount,profit,payment_mode
ORD100014,2025-06-08,CUST10169,Uttar Pradesh,Kanpur,North,Store,Laptops,Business Laptop 15,1,61000.0,0.02,47000.0,58584.4,47000.0,11584.4,Cash
ORD100015,2025-07-28,CUST10019,Telangana,Hyderabad,South,Store,Printers,Ink Tank Printer,3,16500.0,0.15,12200.0,41233.5,36600.0,4633.5,Cash
ORD100016,2025-01-10,CUST11532,West Bengal,Kolkata,East,Store,Laptops,Gaming Laptop,1,98000.0,0.0,79000.0,92198.4,79000.0,13198.4,UPI
ORD100017,2024-04-03,CUST13042, delhi,New Delhi,North,Online,Accessories,Smart Watch,3,7800.0,0.02,5000.0,23619.96,15000.0,8619.96,UPI
ORD100018,2025-09-05,CUST12103,Karnataka ,Bengaluru,South,Store,Tablets,Pro Tablet,1,48000.0,0.02,36000.0,46099.2,36000.0,10099.2,Credit Card
ORD100019,2024-11-25,CUST11774,Maharashtra,Nagpur,West,Store,Accessories,Bluetooth Speaker,1,6500.0,0.15,4100.0,6064.24,4100.0,1964.24,Credit Card
ORD100020,2024-12-31,CUST11262,Maharashtra,Nagpur,West,Online,Accessories,Wireless Earbuds,1,4200.0,0.02,2700.0,4748.22,2700.0,2048.22,Credit Card
ORD100021,2024-09-28,CUST10074,Karnataka ,Mangaluru,South,Online,Mobiles,Budget Smartphone,1,14500.0,0.1,10800.0,13441.5,10800.0,2641.5,Credit Card
ORD100022,2024-05-13,CUST10591,Tamil Nadu,Madurai,South,Online,Printers,Ink Tank Printer,2,16500.0,0.05,12200.0,32290.5,24400.0,7890.5,Debit Card
ORD100023,2025-11-08,CUST12378,Maharashtra,Nagpur,West,Online,Mobiles,Premium Smartphone,1,58000.0,0.05,44000.0,63563.36,44000.0,19563.36,UPI
ORD100024,2025-07-25,CUST11963,Gujarat,Vadodara,West,Store,Mobiles,5G Smartphone,1,32000.0,0.05,24500.0,29792.0,24500.0,5292.0,UPI
ORD100025,2025-04-15,CUST12859,Gujarat,Surat,West,Store,Monitors,27-inch Monitor,5,22500.0,0.05,16800.0,104737.5,84000.0,20737.5,Credit Card
ORD100026,2024-10-21,CUST12582,Uttar Pradesh,Lucknow,North,Store,Mobiles,Premium Smartphone,3,58000.0,0.02,44000.0,187162.75,132000.0,55162.75,UPI
ORD100027,2025-08-24,CUST12745,Uttar Pradesh,Kanpur,North,Online,Laptops,Business Laptop 15,1,61000.0,0.08,47000.0,57803.6,47000.0,10803.6,Debit Card
ORD100028,2025-02-02,CUST11041,Karnataka ,Bengaluru,South,Online,Laptops,Gaming Laptop,2,98000.0,0.02,79000.0,189928.7,158000.0,31928.7,Debit Card
ORD100029,2024-11-20,CUST12354,Maharashtra,Pune,West,Online,Mobiles,Budget Smartphone,1,14500.0,0.08,10800.0,15389.02,10800.0,4589.02,Net Banking
ORD100030,2024-11-25,CUST12853,Maharashtra,Nagpur,West,Online,Monitors,27-inch Monitor,1,22500.0,0.15,16800.0,22062.6,16800.0,5262.6,Debit Card
ORD100031,2024-06-15,CUST10267,Maharashtra,Nagpur,West,Store,Accessories,Bluetooth Speaker,4,6500.0,0.05,4100.0,24206.0,16400.0,7806.0,Credit Card
ORD100032,2024-03-08,CUST10461,Karnataka ,Mangaluru,South,Online,Laptops,Business Laptop 15,4,61000.0,0.0,47000.0,251320.0,188000.0,63320.0,Net Banking
ORD100033,2025-02-09,CUST10709,Maharashtra,Pune,West,Online,Accessories,Wireless Earbuds,3,4200.0,0.0,2700.0,12458.88,8100.0,4358.88,Credit Card
ORD100034,2025-10-11,CUST11250,Karnataka ,Mangaluru,South,Online,Accessories,Wireless Earbuds,2,4200.0,0.08,2700.0,8915.02,5400.0,3515.02,Debit Card
ORD100035,2024-02-16,CUST10797,Odisha,Bhubaneswar,East,Store,Accessories,Smart Watch,3,7800.0,0.02,5000.0,21574.43,15000.0,6574.43,UPI
ORD100036,2025-09-19,CUST10165,Telangana,Hyderabad,South,Online,Accessories,Wireless Earbuds,1,4200.0,0.05,2700.0,4109.7,2700.0,1409.7,Debit Card
ORD100037,2025-08-27,CUST12028,Rajasthan,Udaipur,North,Online,Mobiles,Budget Smartphone,1,14500.0,0.08,10800.0,13740.2,10800.0,2940.2,UPI
ORD100038,2024-07-21,CUST12304,Maharashtra,Mumbai,West,Store,Printers,Laser Printer,2,28000.0,0.0,21400.0,54880.0,42800.0,12080.0,UPI
ORD100039,2025-04-06,CUST11126,Gujarat,Surat,West,Online,Mobiles,5G Smartphone,2,32000.0,0.05,24500.0,62624.0,49000.0,13624.0,Credit Card
ORD100040,2024-04-30,CUST12966,West Bengal,Kolkata,East,Store,Printers,Ink Tank Printer,1,16500.0,0.05,12200.0,15361.5,12200.0,3161.5,UPI
ORD100041,2025-07-08,CUST12392,Karnataka ,Bengaluru,South,Store,Mobiles,5G Smartphone,2,32000.0,0.05,24500.0,59584.0,49000.0,10584.0,UPI
ORD100042,2025-05-27,CUST11865, delhi,New Delhi,North,Online,Accessories,Wireless Earbuds,1,4200.0,0.05,2700.0,4109.7,2700.0,1409.7,Debit Card
ORD100043,2024-09-16,CUST10134,Odisha,Cuttack,East,Online,Laptops,Business Laptop 15,2,61000.0,0.02,47000.0,123146.8,94000.0,29146.8,Credit Card
ORD100044,2024-02-19,CUST11374,Telangana,Hyderabad,South,Online,Monitors,27-inch Monitor,1,22500.0,0.0,16800.0,22248.0,16800.0,5448.0,Debit Card
ORD100045,2025-12-10,CUST12443,Karnataka ,Mangaluru,South,Online,Tablets,Pro Tablet,2,48000.0,0.05,36000.0,105208.32,72000.0,33208.32,Debit Card
ORD100046,2024-11-21,CUST11824,Telangana,Hyderabad,South,Store,Monitors,27-inch Monitor,4,22500.0,0.0,16800.0,98784.0,67200.0,31584.0,Credit Card
ORD100047,2025-10-14,CUST12743,Maharashtra,Nagpur,West,Online,Monitors,24-inch Monitor,4,14500.0,0.05,10800.0,63563.36,43200.0,20363.36,Cash
ORD100048,2025-05-10,CUST12426,Maharashtra,Nagpur,West,Online,Mobiles,5G Smartphone,3,32000.0,0.0,24500.0,98880.0,73500.0,25380.0,UPI
ORD100049,2025-07-22,CUST13149,Maharashtra,Mumbai,West,Store,Laptops,Ultrabook 14,1,72000.0,0.0,56000.0,70560.0,56000.0,14560.0,UPI
ORD100050,2025-07-09,CUST11375,West Bengal,Durgapur,East,Store,Monitors,27-inch Monitor,1,22500.0,0.05,16800.0,20947.5,16800.0,4147.5,UPI
ORD100051,2024-05-22,CUST10494, delhi,New Delhi,North,Store,Accessories,Wireless Earbuds,1,4200.0,0.02,2700.0,4033.68,2700.0,1333.68,Debit Card
ORD100052,2024-09-23,CUST12694,Karnataka ,Mysuru,South,Store,Monitors,24-inch Monitor,2,14500.0,0.05,10800.0,26999.0,21600.0,5399.0,UPI
ORD100053,2024-12-07,CUST12599,Gujarat,Ahmedabad,West,Online,Accessories,Bluetooth Speaker,2,6500.0,0.0,4100.0,14996.8,8200.0,6796.8,Credit Card
ORD100054,2024-12-29,CUST11065, delhi,New Delhi,North,Online,Accessories,Smart Watch,1,7800.0,0.15,5000.0,7648.37,5000.0,2648.37,Credit Card
ORD100055,2024-02-02,CUST10230,West Bengal,Durgapur,East,Store,Tablets,Pro Tablet,1,48000.0,0.0,36000.0,45158.4,36000.0,9158.4,Debit Card
ORD100056,2025-02-03,CUST11052,Karnataka ,Mangaluru,South,Store,Accessories,Smart Watch,2,7800.0,0.0,5000.0,14676.48,10000.0,4676.48,Net Banking
ORD100057,2024-04-22,CUST11506,Karnataka ,Mangaluru,South,Online,Monitors,27-inch Monitor,1,22500.0,0.08,16800.0,21321.0,16800.0,4521.0,UPI
ORD100058,2025-06-27,CUST12729,Rajasthan,Udaipur,North,Store,Accessories,Bluetooth Speaker,1,6500.0,0.1,4100.0,5733.0,4100.0,1633.0,UPI
ORD100059,2025-05-14,CUST11253,West Bengal,Durgapur,East,Store,Printers,Ink Tank Printer,3,16500.0,0.0,12200.0,48510.0,36600.0,11910.0,Debit Card
ORD100060,2025-11-05,CUST12490,West Bengal,Durgapur,East,Online,Mobiles,5G Smartphone,4,32000.0,0.0,24500.0,147660.8,98000.0,49660.8,Net Banking
ORD100061,2025-06-28,CUST12128,Karnataka ,Mangaluru,South,Store,Accessories,Smart Watch,1,7800.0,0.05,5000.0,7261.8,5000.0,2261.8,UPI
ORD100062,2024-09-25,CUST10105,Maharashtra,Pune,West,Online,Accessories,Wireless Earbuds,3,4200.0,0.05,2700.0,12329.1,8100.0,4229.1,Debit Card
ORD100063,2025-12-08,CUST10375,Tamil Nadu,Madurai,South,Store,Laptops,Ultrabook 14,3,72000.0,0.02,56000.0,232339.97,168000.0,64339.97,UPI
ORD100064,2024-10-27,CUST11573,Karnataka ,Bengaluru,South,Online,Accessories,Bluetooth Speaker,1,6500.0,0.0,4100.0,7498.4,4100.0,3398.4,UPI
ORD100065,2024-08-26,CUST11206,West Bengal,Durgapur,East,Store,Accessories,Wireless Earbuds,1,4200.0,0.08,2700.0,3786.72,2700.0,1086.72,UPI
ORD100066,2025-10-23,CUST12818,Maharashtra,Mumbai,West,Store,Printers,Laser Printer,1,28000.0,0.0,21400.0,30732.8,21400.0,9332.8,Debit Card
ORD100067,2024-09-27,CUST12357, delhi,New Delhi,North,Online,Accessories,Bluetooth Speaker,2,6500.0,0.08,4100.0,12318.8,8200.0,4118.8,Debit Card
ORD100068,2024-02-25,CUST11569,West Bengal,Kolkata,East,Store,Laptops,Business Laptop 15,1,61000.0,0.08,47000.0,52797.7,47000.0,5797.7,Credit Card
ORD100069,2024-12-09,CUST10960,Odisha,Cuttack,East,Online,Printers,Laser Printer,3,28000.0,0.0,21400.0,96902.4,64200.0,32702.4,Debit Card
ORD100070,2025-08-04,CUST10019, delhi,New Delhi,North,Online,Mobiles,Premium Smartphone,1,58000.0,0.08,44000.0,54960.8,44000.0,10960.8,Credit Card
ORD100071,2024-05-18,CUST10025,West Bengal,Kolkata,East,Online,Accessories,Bluetooth Speaker,1,6500.0,0.08,4100.0,6159.4,4100.0,2059.4,UPI
ORD100072,2024-12-04,CUST11827,Maharashtra,Nagpur,West,Store,Accessories,Wireless Earbuds,2,4200.0,0.05,2700.0,8758.85,5400.0,3358.85,Net Banking
ORD100073,2024-04-04,CUST10035,Karnataka ,Bengaluru,South,Store,Mobiles,Budget Smartphone,1,14500.0,0.0,10800.0,14210.0,10800.0,3410.0,UPI
ORD100074,2025-05-16,CUST10222,Maharashtra,Nagpur,West,Online,Mobiles,Budget Smartphone,1,14500.0,0.1,10800.0,13441.5,10800.0,2641.5,Net Banking
ORD100075,2024-12-13,CUST10298,Odisha,Cuttack,East,Store,Accessories,Bluetooth Speaker,3,6500.0,0.1,4100.0,19262.88,12300.0,6962.88,Debit Card
ORD100076,2024-08-29,CUST10641,West Bengal,Kolkata,East,Store,Monitors,24-inch Monitor,1,14500.0,0.02,10800.0,13925.8,10800.0,3125.8,Debit Card
ORD100077,2024-06-14,CUST12837,Maharashtra,Mumbai,West,Online,Printers,Ink Tank Printer,1,16500.0,0.02,12200.0,16655.1,12200.0,4455.1,Credit Card
ORD100078,2025-02-16,CUST10164,Maharashtra,Nagpur,West,Store,Printers,Laser Printer,3,28000.0,0.05,21400.0,75075.84,64200.0,10875.84,Debit Card
ORD100079,2025-05-04,CUST11887,Karnataka ,Mysuru,South,Online,Laptops,Business Laptop 15,3,61000.0,0.1,47000.0,169641.0,141000.0,28641.0,UPI
ORD100080,2025-11-18,CUST12816,Gujarat,Surat,West,Store,Mobiles,5G Smartphone,1,32000.0,0.1,24500.0,31610.88,24500.0,7110.88,Credit Card
ORD100081,2024-11-15,CUST10295,Rajasthan,Jaipur,North,Online,Mobiles,5G Smartphone,1,32000.0,0.02,24500.0,36176.9,24500.0,11676.9,UPI
ORD100082,2024-04-27,CUST11841,Maharashtra,Nagpur,West,Store,Printers,Ink Tank Printer,1,16500.0,0.05,12200.0,15361.5,12200.0,3161.5,Credit Card
ORD100083,2025-08-31,CUST10090,Uttar Pradesh,Lucknow,North,Online,Laptops,Business Laptop 15,1,61000.0,0.02,47000.0,61573.4,47000.0,14573.4,Debit Card
ORD100084,2025-04-05,CUST11214,Telangana,Hyderabad,South,Online,Accessories,Bluetooth Speaker,1,6500.0,0.02,4100.0,6561.1,4100.0,2461.1,UPI
ORD100085,2025-05-26,CUST12858,Karnataka ,Mysuru,South,Store,Printers,Ink Tank Printer,2,16500.0,0.0,12200.0,32340.0,24400.0,7940.0,UPI
ORD100086,2024-03-12,CUST11426,Maharashtra,Nagpur,West,Store,Accessories,Wireless Earbuds,5,4200.0,0.02,2700.0,20168.4,13500.0,6668.4,Credit Card
ORD100087,2024-08-16,CUST11996,Odisha,Bhubaneswar,East,Store,Laptops,Ultrabook 14,1,72000.0,0.02,56000.0,69148.8,56000.0,13148.8,Cash
ORD100088,2025-07-15,CUST11573, delhi,New Delhi,North,Store,Laptops,Ultrabook 14,4,72000.0,0.05,56000.0,268128.0,224000.0,44128.0,Debit Card
ORD100089,2025-08-31,CUST11321,Tamil Nadu,Madurai,South,Store,Accessories,Bluetooth Speaker,1,6500.0,0.05,4100.0,6051.5,4100.0,1951.5,Credit Card
ORD100090,2024-11-14,CUST10340,Karnataka ,Mysuru,South,Online,Mobiles,Budget Smartphone,1,14500.0,0.15,10800.0,14218.12,10800.0,3418.12,Net Banking
ORD100091,2025-08-11,CUST11279,West Bengal,Kolkata,East,Online,Tablets,Pro Tablet,1,48000.0,0.05,36000.0,46968.0,36000.0,10968.0,Debit Card
ORD100092,2025-09-07,CUST11348,Rajasthan,Jaipur,North,Online,Laptops,Ultrabook 14,1,72000.0,0.0,56000.0,74160.0,56000.0,18160.0,Debit Card
ORD100093,2024-10-10,CUST11944,Rajasthan,Udaipur,North,Online,Monitors,27-inch Monitor,1,22500.0,0.05,16800.0,24658.2,16800.0,7858.2,Credit Card
ORD100094,2025-10-18,CUST11468, delhi,New Delhi,North,Store,Monitors,27-inch Monitor,2,22500.0,0.0,16800.0,49392.0,33600.0,15792.0,Credit Card
ORD100095,2024-07-29,CUST10152,West Bengal,Kolkata,East,Online,Accessories,Wireless Earbuds,1,4200.0,0.0,2700.0,4326.0,2700.0,1626.0,UPI
ORD100096,2024-06-24,CUST11969,Karnataka ,Mysuru,South,Online,Tablets,Android Tablet,2,22000.0,0.1,16500.0,40788.0,33000.0,7788.0,Debit Card
ORD100097,2025-05-13,CUST11378,Uttar Pradesh,Noida,North,Online,Mobiles,Budget Smartphone,1,14500.0,0.0,10800.0,14935.0,10800.0,4135.0,UPI
ORD100098,2025-04-10,CUST10812,Tamil Nadu,Chennai,South,Store,Mobiles,5G Smartphone,2,32000.0,0.05,24500.0,59584.0,49000.0,10584.0,Debit Card
ORD100099,2024-04-12,CUST11077, delhi,New Delhi,North,Online,Printers,Ink Tank Printer,2,16500.0,0.1,12200.0,30591.0,24400.0,6191.0,Net Banking
ORD100100,2025-08-31,CUST12730,Odisha,Cuttack,East,Online,Tablets,Pro Tablet,3,48000.0,0.05,36000.0,140904.0,108000.0,32904.0,Credit Card
ORD100101,2024-05-26,CUST12881,Odisha,Bhubaneswar,East,Store,Laptops,Business Laptop 15,2,61000.0,0.05,47000.0,113582.0,94000.0,19582.0,UPI
ORD100102,2025-08-11,CUST11328,Telangana,Warangal,South,Online,Accessories,Smart Watch,1,7800.0,0.02,5000.0,7873.32,5000.0,2873.32,UPI
ORD100103,2024-01-06,CUST12896,Telangana,Warangal,South,Store,Printers,Ink Tank Printer,3,16500.0,0.0,12200.0,46569.6,36600.0,9969.6,Debit Card
ORD100104,2025-08-05,CUST10712,West Bengal,Durgapur,East,Online,Mobiles,Premium Smartphone,3,58000.0,0.08,44000.0,164882.4,132000.0,32882.4,UPI
ORD100105,2025-07-29,CUST10133,Odisha,Bhubaneswar,East,Store,Accessories,Bluetooth Speaker,3,6500.0,0.08,4100.0,17581.2,12300.0,5281.2,UPI
ORD100106,2025-07-24,CUST11828,Uttar Pradesh,Lucknow,North,Online,Printers,Laser Printer,1,28000.0,0.1,21400.0,25956.0,21400.0,4556.0,UPI
ORD100107,2025-05-01,CUST12044,Maharashtra,Mumbai,West,Online,Laptops,Business Laptop 15,2,61000.0,0.08,47000.0,115607.2,94000.0,21607.2,Credit Card
ORD100108,2024-12-10,CUST11407,Karnataka ,Mangaluru,South,Online,Monitors,24-inch Monitor,2,14500.0,0.05,10800.0,31781.68,21600.0,10181.68,Credit Card
ORD100109,2025-05-30,CUST10602,West Bengal,Durgapur,East,Store,Tablets,Pro Tablet,3,48000.0,0.02,36000.0,138297.6,108000.0,30297.6,UPI
ORD100110,2024-07-21,CUST10578,Uttar Pradesh,Kanpur,North,Store,Accessories,Bluetooth Speaker,2,6500.0,0.1,4100.0,11466.0,8200.0,3266.0,Credit Card
ORD100111,2025-07-24,CUST10208,Uttar Pradesh,Noida,North,Online,Mobiles,5G Smartphone,1,32000.0,0.02,24500.0,32300.8,24500.0,7800.8,Credit Card
ORD100112,2025-02-10,CUST12742, delhi,New Delhi,North,Store,Mobiles,5G Smartphone,1,32000.0,0.05,24500.0,28600.32,24500.0,4100.32,Credit Card
ORD100113,2024-12-01,CUST11140,Tamil Nadu,Chennai,South,Online,Accessories,Wireless Earbuds,1,4200.0,0.05,2700.0,4602.86,2700.0,1902.86,Net Banking
ORD100114,2025-01-04,CUST11938,Tamil Nadu,Madurai,South,Store,Mobiles,5G Smartphone,2,32000.0,0.08,24500.0,55394.3,49000.0,6394.3,UPI
ORD100115,2025-02-19,CUST10530,Rajasthan,Udaipur,North,Store,Accessories,Wireless Earbuds,1,4200.0,0.08,2700.0,3635.25,2700.0,935.25,Credit Card
ORD100116,2024-01-28,CUST12493,Karnataka ,Mysuru,South,Online,Laptops,Business Laptop 15,3,61000.0,0.02,47000.0,177331.39,141000.0,36331.39,UPI
ORD100117,2024-04-12,CUST11807, delhi,New Delhi,North,Online,Accessories,Smart Watch,3,7800.0,0.0,5000.0,24102.0,15000.0,9102.0,UPI
ORD100118,2024-06-28,CUST12622,Uttar Pradesh,Lucknow,North,Store,Mobiles,Premium Smartphone,2,58000.0,0.05,44000.0,107996.0,88000.0,19996.0,Credit Card
ORD100119,2024-03-24,CUST11868,Rajasthan,Udaipur,North,Store,Accessories,Smart Watch,1,7800.0,0.1,5000.0,6879.6,5000.0,1879.6,Debit Card
ORD100120,2024-11-17,CUST11284,Karnataka ,Mangaluru,South,Store,Laptops,Gaming Laptop,2,98000.0,0.02,79000.0,210827.01,158000.0,52827.01,Credit Card
ORD100121,2025-05-03,CUST10739,Uttar Pradesh,Kanpur,North,Online,Accessories,Smart Watch,3,7800.0,0.05,5000.0,22896.9,15000.0,7896.9,Net Banking
ORD100122,2025-04-23,CUST13021,Maharashtra,Mumbai,West,Store,Laptops,Ultrabook 14,2,72000.0,0.0,56000.0,141120.0,112000.0,29120.0,Debit Card
ORD100123,2024-12-10,CUST13173,Maharashtra,Mumbai,West,Online,Laptops,Gaming Laptop,2,98000.0,0.08,79000.0,208017.15,158000.0,50017.15,UPI
ORD100124,2025-09-17,CUST10190,Tamil Nadu,Madurai,South,Store,Mobiles,Budget Smartphone,1,14500.0,0.05,10800.0,13499.5,10800.0,2699.5,Credit Card
ORD100125,2025-02-17,CUST10499,Maharashtra,Mumbai,West,Store,Accessories,Smart Watch,1,7800.0,0.08,5000.0,6751.18,5000.0,1751.18,Credit Card
ORD100126,2024-02-27,CUST10766,West Bengal,Kolkata,East,Store,Laptops,Ultrabook 14,2,72000.0,0.02,56000.0,132765.7,112000.0,20765.7,Debit Card
ORD100127,2025-07-13,CUST13064,West Bengal,Durgapur,East,Store,Accessories,Smart Watch,3,7800.0,0.05,5000.0,21785.4,15000.0,6785.4,Credit Card
ORD100128,2025-02-24,CUST10641,Maharashtra,Pune,West,Store,Mobiles,5G Smartphone,2,32000.0,0.0,24500.0,60211.2,49000.0,11211.2,Cash
ORD100129,2025-04-08,CUST10837,Rajasthan,Udaipur,North,Online,Printers,Laser Printer,1,28000.0,0.05,21400.0,27398.0,21400.0,5998.0,Credit Card
ORD100130,2025-02-17,CUST10594,Telangana,Warangal,South,Store,Mobiles,Premium Smartphone,2,58000.0,0.08,44000.0,100402.18,88000.0,12402.18,Debit Card
ORD100131,2025-02-08,CUST11989,Uttar Pradesh,Noida,North,Online,Laptops,Gaming Laptop,1,98000.0,0.05,79000.0,92057.28,79000.0,13057.28,Credit Card
ORD100132,2024-03-07,CUST12480,West Bengal,Kolkata,East,Online,Accessories,Bluetooth Speaker,1,6500.0,0.1,4100.0,6025.5,4100.0,1925.5,Debit Card
ORD100133,2025-02-12,CUST11914,Telangana,Warangal,South,Online,Mobiles,Premium Smartphone,1,58000.0,0.08,44000.0,52762.37,44000.0,8762.37,Credit Card
ORD100134,2025-08-04,CUST10275,Maharashtra,Nagpur,West,Online,Accessories,Wireless Earbuds,3,4200.0,0.05,2700.0,12329.1,8100.0,4229.1,UPI
ORD100135,2024-08-10,CUST13177,Maharashtra,Nagpur,West,Online,Accessories,Smart Watch,3,7800.0,0.02,5000.0,23619.96,15000.0,8619.96,Credit Card
ORD100136,2025-03-16,CUST10698,Tamil Nadu,Coimbatore,South,Online,Accessories,Smart Watch,1,7800.0,0.08,5000.0,7391.28,5000.0,2391.28,Credit Card
ORD100137,2024-01-23,CUST11643,West Bengal,Kolkata,East,Online,Mobiles,5G Smartphone,1,32000.0,0.08,24500.0,29110.27,24500.0,4610.27,UPI
ORD100138,2024-09-11,CUST10637,Telangana,Hyderabad,South,Online,Mobiles,5G Smartphone,2,32000.0,0.05,24500.0,62624.0,49000.0,13624.0,Debit Card
ORD100139,2024-11-15,CUST10519,Karnataka ,Mysuru,South,Online,Mobiles,Premium Smartphone,3,58000.0,0.0,44000.0,200726.4,132000.0,68726.4,Net Banking
ORD100140,2025-12-19,CUST12496,Maharashtra,Pune,West,Store,Mobiles,Budget Smartphone,1,14500.0,0.02,10800.0,15596.9,10800.0,4796.9,Net Banking
ORD100141,2024-06-05,CUST10834,West Bengal,Kolkata,East,Store,Accessories,Smart Watch,1,7800.0,0.05,5000.0,7261.8,5000.0,2261.8,Credit Card
ORD100142,2024-07-21,CUST12751,Karnataka ,Mysuru,South,Store,Accessories,Wireless Earbuds,1,4200.0,0.1,2700.0,3704.4,2700.0,1004.4,Credit Card
ORD100143,2024-10-25,CUST10111,Uttar Pradesh,Noida,North,Store,Monitors,27-inch Monitor,2,22500.0,0.08,16800.0,45440.64,33600.0,11840.64,Net Banking
ORD100144,2025-12-26,CUST10365,Uttar Pradesh,Kanpur,North,Store,Accessories,Bluetooth Speaker,1,6500.0,0.08,4100.0,6563.65,4100.0,2463.65,Cash
ORD100145,2025-09-15,CUST12934,Gujarat,Ahmedabad,West,Online,Accessories,Wireless Earbuds,1,4200.0,0.02,2700.0,4239.48,2700.0,1539.48,UPI
ORD100146,2024-01-26,CUST10336,Maharashtra,Mumbai,West,Online,Accessories,Wireless Earbuds,1,4200.0,0.0,2700.0,4152.96,2700.0,1452.96,UPI
ORD100147,2024-06-20,CUST13122,Karnataka ,Mysuru,South,Online,Mobiles,Budget Smartphone,1,14500.0,0.15,10800.0,12694.75,10800.0,1894.75,UPI
ORD100148,2025-08-23,CUST10006,Karnataka ,Mangaluru,South,Online,Mobiles,Budget Smartphone,2,14500.0,0.02,10800.0,29272.6,21600.0,7672.6,Credit Card
ORD100149,2024-02-12,CUST11405,Uttar Pradesh,Lucknow,North,Store,Mobiles,5G Smartphone,1,32000.0,0.05,24500.0,28600.32,24500.0,4100.32,Debit Card
ORD100150,2025-09-17,CUST12008,Rajasthan,Udaipur,North,Online,Mobiles,Premium Smartphone,2,58000.0,0.08,44000.0,109921.6,88000.0,21921.6,UPI
ORD100151,2024-07-24,CUST12584,Gujarat,Vadodara,West,Store,Monitors,27-inch Monitor,1,22500.0,0.05,16800.0,20947.5,16800.0,4147.5,Debit Card
ORD100152,2025-11-01,CUST11508,Telangana,Hyderabad,South,Online,Monitors,24-inch Monitor,2,14500.0,0.0,10800.0,33454.4,21600.0,11854.4,UPI
ORD100153,2024-08-02,CUST11205,Maharashtra,Pune,West,Store,Laptops,Ultrabook 14,1,72000.0,0.02,56000.0,69148.8,56000.0,13148.8,UPI
ORD100154,2024-11-13,CUST12530,Gujarat,Ahmedabad,West,Online,Mobiles,5G Smartphone,3,32000.0,0.1,24500.0,99671.04,73500.0,26171.04,Credit Card
ORD100155,2025-04-28,CUST11187,Uttar Pradesh,Noida,North,Store,Accessories,Smart Watch,2,7800.0,0.05,5000.0,14523.6,10000.0,4523.6,Credit Card
ORD100156,2024-04-02,CUST12698,Uttar Pradesh,Kanpur,North,Store,Accessories,Wireless Earbuds,1,4200.0,0.1,2700.0,3704.4,2700.0,1004.4,UPI
ORD100157,2025-02-11,CUST10159,Uttar Pradesh,Noida,North,Online,Laptops,Ultrabook 14,3,72000.0,0.0,56000.0,213580.8,168000.0,45580.8,UPI
ORD100158,2025-01-04,CUST10819,Maharashtra,Pune,West,Online,Accessories,Smart Watch,1,7800.0,0.0,5000.0,7712.64,5000.0,2712.64,UPI
